edition,year,host,winner
1,1930,Uruguay,Uruguay
2,1934,Italy,Italy
3,1938,France,Italy
4,1950,Brazil,Uruguay
5,1954,Switzerland,West Germany
6,1958,Sweden,Brazil
7,1962,Chile,Brazil
8,1966,England,England
9,1970,Mexico,Brazil
10,1974,West Germany,West Germany
11,1978,Argentina,Argentina
12,1982,Spain,Italy
13,1986,Mexico,Argentina
14,1990,Italy,West Germany
15,1994,United States,Brazil
16,1998,France,France
17,2002,"South Korea
Japan",Brazil
18,2006,Germany,Italy
19,2010,South Africa,Spain
20,2014,Brazil,Germany
21,2018,Russia,France
22,2022,Qatar,TBD
23,2026,Romania,Romania
23,2026,Romania,Romania
24,2030,Ungaria,Italia
23,2026,Romania,Romania
24,2030,Ungaria,Italia
